video_id,title,channel_title,publish_date,category_id,tags,duration,viewCount,likeCount,commentCount
ko70cExuzZM,Taylor Swift - The Fate of Ophelia (Official Music Video),Taylor Swift,2025-10-05T23:00:06Z,,,PT3M59S,75290252,1533483,70088
6wmDlk-7aMk,YLL LIMANI - LARG (Official Music Video),Yll Limani,2025-07-31T16:00:07Z,,,PT3M3S,17360580,37064,555
1SQLXUH4JSc,"မင်းနဲ့  - Nay Min Eain, Jewel (Official Music Video)",Nay Min Eain,2025-01-11T04:30:00Z,,,PT3M58S,11032906,41349,606
VSXT4a2kRHA,Teddy Swims - The Door (Official Music Video),Teddy Swims,2024-04-16T17:00:16Z,,,PT3M32S,230291357,1042051,19520
i6EKHGbLM-c,"[Tipsy Live2] SEVENTEEN - CHEERS, _WORLD, CIRCLES, etc | Dingo Music | TWINS REACTION | LOVE THIS!",TheKTwins,2025-10-21T20:00:37Z,,,PT31M3S,850,125,21
w4Eq0Tm7Vlg,The Darkest Songs in History 🤔,hxsain,2025-07-11T18:34:58Z,,,PT1M3S,3488955,131700,1298
Oa_RSwwpPaA,Benson Boone - Beautiful Things (Official Music Video),Benson Boone,2024-01-18T23:00:13Z,,,PT3M13S,824424716,5869852,124787
mLP68giTciw,Jimmy Guzman &amp; Omar Camacho - 3 AM (Video Oficial),Lumbre Music,2025-08-01T00:00:07Z,,,PT3M25S,28083603,110193,1163
G5c7jBadE9A,&quot;What song carried 2020?&quot; 🤔🔥,Music Media,2025-09-22T23:29:41Z,,,PT19S,2077782,60696,1001
HTOLqwds1j4,Does the K-Pop Demon Hunters Music Sound Familiar? 😈🤔 #music #kpop,Rick Reverie,2025-08-23T20:07:50Z,,,PT1M,23986397,595346,4693
B8argI8foq0,90&#39;s Hindi Songs | 90s Evergreen Hindi Song | 90s Hits Hindi Songs | Hindi Gana | Love Songs,Tips Official,2025-10-21T12:30:24Z,,,PT2H5M38S,67161,407,28
lssAEKfTuOA,Top 5 Most iconic 2019-20 Songs🎧😍🌍| BEST MUSIC |Lalala-SugarCrash-comethru|#explore #spotify #music,potify Boxes,2025-08-08T09:36:05Z,,,PT52S,3765363,0,1599
SDd3AyocuxU,100%heartattack#heartattack #cover #singer #music #song,ViralVarietyVault,2025-06-16T01:35:01Z,,,PT51S,6589419,233131,1692
ogWztLP-_10,🎧 // MONTAGEM COMA [ SLOWED ] (BRAZILIAN PHONK 🥶🥵💀,phonk_music,2025-08-19T14:25:39Z,,,PT15S,3218288,46272,558
cj8ASVJhH4A,MOST Streamed Rap Song Of Every Year,Fiscoos elevated music opinions ,2025-05-21T12:54:35Z,,,PT1M,7113457,199181,4764
2VKJ79yLDnc,Zeddy Wills Many Hit Songs,Fiscoos elevated music opinions ,2025-07-29T04:38:39Z,,,PT1M,3158264,120255,847
