video_id,title,channel_title,publish_date,category_id,tags,duration,viewCount,likeCount,commentCount
fTKqtvXjkvo&list=RDfTKqtvXjkvo&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Top Hits 2025 ~ Summer Playlist 2025 ~ Top Songs 2025 Trending Music 🎶🎧,Revive Music,3 months ago,,,,14000000,,
94XBcesxLWo&list=RD94XBcesxLWo&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,AURA = ♾️ | 1 HOUR VIRAL AURA MUSIC PLAYLIST 2025 🔥 TRENDING PHONK HITS,EMPIRE PHONK,2 months ago,,,,9000000,,
ph-8t5vXGsE&list=RDph-8t5vXGsE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,"Tyler, The Creator - Sugar On My Tongue (Lyrics)",Strain Music,3 months ago,,,,5600000,,
ko70cExuzZM&list=RDko70cExuzZM&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Taylor Swift - The Fate of Ophelia (Official Music Video),Taylor Swift,2 weeks ago,,,,76000000,,
rY2P7lHolMw&list=RDrY2P7lHolMw&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,"Billboard Pop Songs 2025 Playlist ✨Ed Sheeran, The Weeknd, Bruno Mars, Rihanna, Sia, Adele, Dua Lipa",Top Song 2025,6 months ago,,,,4900000,,
FPyqVCoCDQk&list=RDFPyqVCoCDQk&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Top Spotify Hits October 2025 🌞 Summer Mix – Sabrina Carpenter, Bruno Mars, Billie Eilish",Creature Chronicles: Wild,2 months ago,,,,1700000,,
qEOPqopV5nU&list=RDqEOPqopV5nU&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Spotify Playlist 2025 🌴 Trending Music 2025 New Songs | Best Hits Mix of the Year,Dynamic Deep House,11 hours ago,,,,2400,,
vp2ZoXIFJfw&list=RDvp2ZoXIFJfw&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Top Hits 2025 ~ Top Music Playlist 2025 ~ Top Songs 2025 🎶🎧,Revive Music,3 months ago,,,,1700000,,
pMOblGlvFuY&list=RDpMOblGlvFuY&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,AURA = ♾️ | 1 HOUR VIRAL AURA MUSIC PLAYLIST 2025 🔥 TRENDING PHONK HITS,EMPIRE PHONK,3 weeks ago,,,,2600000,,
JxQ1_u9XYo4&list=RDJxQ1_u9XYo4&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,sombr - back to friends (Lyrics),7clouds,4 months ago,,,,3500000,,
9PJdkadMkuk&list=RD9PJdkadMkuk&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Top Spotify Pop Hits ~Viral Songs 2025 ~ Best New Songs & Trending Playlist 2025,Dynamic Deep House,13 days ago,,,,171000,,
C0--vtuiluE&list=RDC0--vtuiluE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Top music 2025 playlist ~ Trending tiktok songs ~ Best songs 2025 to add your playlist (Mix Hits),Song's With Dropped,Streamed 8 months ago,,,,380000,,
DuNTsMqFazI&list=RDDuNTsMqFazI&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Maan Pasand | Sid Mr Rapper - Sid Ki Begum (Official Video),Sid Mr. Rapper,13 hours ago,,,,496000,,
tPw8e49fBqo&list=RDtPw8e49fBqo&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Viral Songs Latest 2025~ Top Songs Spotify Mix ~  Trending Tiktok songs 2025 Playlist Mix Hits,CHILL WITH ME,2 weeks ago,,,,448000,,
